,circle_x,circle_y,circle_radius,click_x,click_y,time_clicked,click_distance_from_circle_center,click_success,computer_no,dpi_setting,experiment_id
0,400,221,27,396,218,0.5897073745727539,5.0,True,1,1,comp1_1650582468
1,601,144,77,607,138,1.346646785736084,8.48528137423857,True,1,1,comp1_1650582468
2,413,212,85,413,205,1.9812405109405518,7.0,True,1,1,comp1_1650582468
3,377,110,29,375,110,2.640377998352051,2.0,True,1,1,comp1_1650582468
4,513,214,70,515,206,3.3363254070281982,8.246211251235321,True,1,1,comp1_1650582468
5,444,166,37,446,167,4.091346740722656,2.23606797749979,True,1,1,comp1_1650582468
6,613,212,69,608,207,4.9569480419158936,7.0710678118654755,True,1,1,comp1_1650582468
7,458,63,18,458,61,5.895126104354858,2.0,True,1,1,comp1_1650582468
8,212,319,22,212,319,6.84962797164917,0.0,True,1,1,comp1_1650582468
9,96,127,74,96,125,7.755367279052734,2.0,True,1,1,comp1_1650582468
10,568,383,70,563,381,8.596561431884766,5.385164807134504,True,1,1,comp1_1650582468
11,125,379,70,128,376,9.435302019119263,4.242640687119285,True,1,1,comp1_1650582468
12,551,402,46,554,399,10.754323244094849,4.242640687119285,True,1,1,comp1_1650582468
13,131,323,66,155,321,11.356689929962158,24.08318915758459,True,1,1,comp1_1650582468
14,237,187,54,247,189,11.769283056259155,10.198039027185569,True,1,1,comp1_1650582468
15,80,26,11,76,24,12.61321759223938,4.47213595499958,True,1,1,comp1_1650582468
16,142,61,38,157,64,13.102415800094604,15.297058540778355,True,1,1,comp1_1650582468
17,182,375,45,184,377,13.645457744598389,2.8284271247461903,True,1,1,comp1_1650582468
18,225,195,48,258,195,14.005448341369629,33.0,True,1,1,comp1_1650582468
19,176,337,81,178,330,14.338362693786621,7.280109889280518,True,1,1,comp1_1650582468
20,393,339,90,407,299,14.672553300857544,42.37924020083418,True,1,1,comp1_1650582468
