,dpi_setting,computer_no,delta_t,accuracy
10,3,1,0.571999788,0.868243142
0,3,1,1.849984646,1
1,3,1,1.162002563,1
2,3,1,0.474995852,1
3,3,1,0.759000301,1
4,3,1,0.600000143,1
5,3,1,0.831024885,0.587719139
6,3,1,1.88098073,0.913811549
7,3,1,0.683011293,1
8,3,1,0.971984386,1
0,3,1,0.55496645,1
1,3,1,1.010550022,0.138490223
2,3,1,0.782999992,0.289448629
3,3,1,0.712001324,1
4,3,1,0.787000895,0.214657133
5,3,1,0.777997971,1
6,3,1,0.69500041,0.273447635
7,3,1,0.806999683,0.124288644
8,3,1,0.535506487,1
9,3,1,0.67599988,0.543462011
10,3,1,0.882272243,0.179953938
11,3,1,0.445999861,1
12,3,1,0.517313004,1
13,3,1,0.371001005,0.78871049
14,3,1,0.311413527,0.593979514
0,3,1,0.747485161,1
1,3,1,0.978997469,1
2,3,1,1.205801487,1
3,3,1,1.165305376,1
4,3,1,0.548996925,1
5,3,1,0.014967203,0.590584295
6,3,1,0.715186357,1
7,3,1,1.609961987,1
8,3,1,1.431001186,0.415227399
9,3,1,0.877998829,1
10,3,1,0.631000042,1
0,3,1,1.446628332,1
1,3,1,1.225819588,1
2,3,1,0.939002514,1
3,3,1,0.8439641,1
4,3,1,0.507032633,1
5,3,1,1.473084688,1
6,3,1,0.606978655,1
7,3,1,0.814983606,1
8,3,1,1.023000479,1
9,3,1,1.029999495,1
0,3,1,1.070003033,0.610170216
1,3,1,0.710963249,0.574369246
2,3,1,0.595036507,1
3,3,1,0.862963438,1
4,3,1,0.835023642,1
5,3,1,0.763978481,0.996545758
6,3,1,0.554041624,1
7,3,1,0.947969198,1
8,3,1,0.534989119,1
9,3,1,0.666032076,1
10,3,1,0.934999228,0.618984461
11,3,1,0.584002733,1
0,3,1,1.592930794,1
1,3,1,0.663034439,1
2,3,1,1.382969618,0.639856688
3,3,1,1.317995787,1
4,3,1,1.086004257,1
5,3,1,0.77500701,0.772489714
6,3,1,0.549995184,1
7,3,1,0.793018818,1
8,3,1,0.690975428,1
9,3,1,0.618999958,0.796209776
0,3,1,1.774039507,1
1,3,1,1.089960575,1
2,3,1,2.026018381,1
3,3,1,1.189980507,1
4,3,1,0.900001764,1
5,3,1,0.949999332,1
6,3,1,0.939013958,1
7,3,1,0.893995523,1
0,3,1,0.451037169,0.805074483
1,3,1,0.614967346,0.892237375
2,3,1,0.657995701,0.343300216
3,3,1,0.681003571,0.999834752
4,3,1,0.641998053,1
5,3,1,0.887032747,1
6,3,1,0.737966299,0.623154715
7,3,1,0.723001003,1
8,3,1,0.779001713,0.912509325
9,3,1,0.700535536,1
10,3,1,0.713222027,1
11,3,1,0.569001198,1
12,3,1,0.727002621,1
13,3,1,0.954995394,1
0,3,1,1.63017416,0.784464541
1,3,1,0.669974804,1
2,3,1,0.541004896,1
3,3,1,1.225996494,0.496563533
4,3,1,0.566040277,1
5,3,1,1.550978661,1
6,3,1,0.73797822,1
7,3,1,0.540040731,1
8,3,1,1.274960995,1
9,3,1,0.997997999,1
0,1,1,0.954998255,1
1,1,1,0.887007713,1
2,1,1,1.016991854,1
3,1,1,0.732002258,1
4,1,1,0.621997833,1
5,1,1,1.194999933,1
6,1,1,1.042999983,1
7,1,1,0.931005478,1
8,1,1,1.077994347,1
9,1,1,0.811000109,1
0,1,1,1.200999975,1
1,1,1,1.473998785,1
2,1,1,1.235000134,1
3,1,1,1.215538263,1
4,1,1,1.124997616,1
5,1,1,0.720410824,1
6,1,1,0.714999914,1
7,1,1,1.028999805,1
8,1,1,0.797006607,1
0,1,1,1.327887774,1
1,1,1,1.153021336,1
2,1,1,1.124953508,1
3,1,1,1.068036795,0.888143081
4,1,1,0.917661905,1
5,1,1,0.619999409,1
6,1,1,0.719002962,0.80860754
7,1,1,0.38701129,0.807422024
8,1,1,0.707107782,1
9,1,1,0.903000116,1
10,1,1,0.699999809,1
0,1,1,1.223033667,1
1,1,1,1.226004601,1
2,1,1,1.230964422,1
3,1,1,0.980026007,1
4,1,1,0.909652948,1
5,1,1,1.298943758,1
6,1,1,1.148537636,1
7,1,1,0.659999847,1
0,1,1,0.852007866,1
1,1,1,0.425984383,1
2,1,1,1.217996836,1
3,1,1,1.04699564,1
4,1,1,0.59100008,1
5,1,1,0.940030336,1
6,1,1,0.702966928,1
7,1,1,0.513999701,1
8,1,1,0.926999331,1
9,1,1,0.707019806,1
10,1,1,0.695528269,1
11,1,1,0.67382741,1
12,1,1,0.500968695,1
0,1,1,0.787997007,1
1,1,1,0.535011768,1
2,1,1,1.026353359,1
3,1,1,0.514964819,1
4,1,1,0.898912191,0.966791393
5,1,1,0.785997391,1
6,1,1,0.702002525,1
7,1,1,0.460999489,0.757233706
8,1,1,0.959003448,1
9,1,1,0.65886879,1
10,1,1,0.805015564,1
11,1,1,0.712985992,1
12,1,1,0.750998259,1
0,2,1,1.170966148,1
1,2,1,1.337798834,1
2,2,1,0.937950611,1
3,2,1,0.955003023,1
4,2,1,0.94899559,1
5,2,1,0.737001896,1
6,2,1,0.671007633,1
7,2,1,0.690991402,1
8,2,1,0.708000422,1
9,2,1,0.770005465,1
